2016-2017²y©u¤W³õ¼Æ¾Ú
¤é´Á,¹ï¤â,µ²ªG,¤W³õ®É¶¡,±o¤À,ÄxªO,§U§ð,§ÛºI,¤õÁç,¥¢»~,¥Ç³W,Âù¤Q,¤j¤T¤¸,©R¤¤²v,¤T¤À²y©R¤¤²v
04/12,´ò¤H,³Ó109-94,28,20,5,8,2,0,6,1,§_,§_,0.353,0.357
04/16,©Ý¯îªÌ,³Ó121-109,36,29,5,4,1,1,5,5,§_,§_,0.474,0.375
04/19,©Ý¯îªÌ,³Ó110-81,31,19,5,6,4,1,4,1,§_,§_,0.333,0.333
04/22,@©Ý¯îªÌ,³Ó119-113,39,34,4,8,2,1,1,1,§_,§_,0.400,0.357
04/24,@©Ý¯îªÌ,³Ó128-103,30,37,7,8,1,0,4,0,§_,§_,0.600,0.636
05/02,Àï¤h,³Ó106-94,30,22,7,5,1,0,4,1,§_,§_,0.636,0.250
05/04,Àï¤h,³Ó115-104,38,23,4,6,2,0,3,3,§_,§_,0.533,0.625
05/06,@Àï¤h,³Ó102-91,37,23,5,4,0,0,0,2,§_,§_,0.300,0.273
05/08,@Àï¤h,³Ó121-95,35,30,5,7,0,1,2,2,§_,§_,0.600,0.400
05/14,°¨¨ë,³Ó113-111,39,40,7,3,3,0,3,0,§_,§_,0.538,0.438
05/16,°¨¨ë,³Ó136-100,31,29,7,7,3,0,2,3,§_,§_,0.615,0.667
05/20,@°¨¨ë,³Ó120-108,34,21,5,3,6,0,5,3,§_,§_,0.533,0.429
05/22,@°¨¨ë,³Ó129-115,34,36,5,6,0,0,6,2,§_,§_,0.583,0.385
06/01,ÃM¤h,³Ó113-91,34,28,6,10,3,0,2,3,¬O,§_,0.500,0.545
06/04,ÃM¤h,³Ó132-113,36,32,10,11,1,0,8,3,¬O,¬O,0.412,0.364
06/07,@ÃM¤h,³Ó118-113,39,26,13,6,2,0,1,3,¬O,§_,0.421,0.556
06/09,@ÃM¤h,­t116-137,38,14,5,10,2,0,4,2,¬O,§_,0.308,0.222
06/12,ÃM¤h,³Ó129-120,41,34,6,10,3,0,4,3,¬O,§_,0.500,0.222
